region,population,area,living_area,per_capita,real_incomes,formal_wage,real_pay,gdpp,income,subsidies,welfare,mining,manufact,indust,water_supply,provision,reg_prod_total,retail,poverty_percent,ps_child,ps_empl,ps_pens,childrens,child_orphanage,child_adopted,pension,pensioners,pensioners_percent,living_wage,unemployment_rate,newborn,child_mortality_rural,child_mortality_urban,child_mortality,morbidity,respiratory,neoplasms,disabled_18_60,density,spec_income,spec_subsidies,spec_mining,spec_manufact,spec_indust,spec_water_supply,spec_provision,spec_reg_prod,childrens_percent,child_orphanage_percent,newborn_1000,child_mortality_1000,disabled_1000
Еврейская автономная область,158305,36271,13.8,28048,99.2,46237,103.7,400340.5,6692.71856437,12908.81070436,31.2,17093714500000.0,5460452600000,27969407300000.0,447750100000.0,4967490100000.0,55938814600000.0,168066,23.6,34.8,54.4,10.8,36731,336,44,17170.7,35545,22.5,16336,6.3,1605,5,6,11,51293,6.357,1.73,5030,4.364506079236856,42277.36688272638,81543.92283478095,107979624774.95973,34493241527.43123,176680504721.8976,2828401503.426929,31379236916.07972,353361009443.7952,23.202678374024828,0.9147586507309902,10.138656391143678,0.06948611856858596,31.7741069454534
Забайкальский край,1059700,431892,17.1,27046,99.9,47172,102.9,402594.6,38863.57348484,45737.72482653,26.5,171636571600000.0,29004343500000,239535677800000.0,4031109700000.0,34863653000000.0,479071355600000.0,164741,20.9,33.4,59.3,7.2,267219,1362,60,16904.54,212033,20.0,13518,9.8,12484,31,33,64,172314,44.519,3.121,31476,2.4536226649254904,36674.128040804004,43161.01238702463,161967133717.08975,27370334528.640182,226041028404.26535,3804010285.9299803,32899549872.605453,452082056808.5307,25.216476361234314,0.509694295690052,11.780692648862885,0.0603944512597905,29.70274606020572
Ивановская область,997135,21437,18.1,26277,97.2,29083,101.6,273821.5,23091.31174124,36019.39275095,25.1,1170505200000.0,184046210800000,219786111600000.0,6394404200000.0,28174991400000.0,439572223200000.0,180314,13.7,0.0,0.0,0.0,183166,382,62,16522.93,282109,28.3,11535,5.4,7563,3,25,28,117068,19.522,5.596,25182,46.5146708961142,23157.65843264954,36122.88481594769,1173868332.7733958,184575018227.22098,220417608047.0548,6412776805.5478945,28255944681.512535,440835216094.1096,18.36922783775517,0.208553989277486,7.584730252172474,0.02808045049065573,25.25435372341759
Иркутская область,2391193,774846,16.3,27571,100.4,49885,103.5,631591.9,103462.39405534,69159.93181536,28.6,533657684000000.0,531602808900000,1217920533000000.0,21413422200000.0,131246617900000.0,2435841066000000.0,164879,17.6,41.5,51.5,7.0,579496,1469,71,18809.6,531497,22.2,12745,7.7,27137,49,118,167,520961,106.047,13.319,90548,3.086023545323845,43268.10677989606,28922.77278135224,223176332483.4089,222316981063.42734,509335939424.3794,8955120812.079996,54887505065.46314,1018671878848.7588,24.234597541896452,0.2534961414746607,11.34872843806418,0.06983961562282928,37.867290511472724
Кабардино-Балкарская Республика,868350,12470,18.9,21957,98.7,29899,105.0,210674.1,13287.90976938,38750.77300691001,34.4,386863600000.0,38751605030000,50105229930000.0,1424813700000.0,9541947900000.0,100210460160000.0,154476,24.2,35.9,57.4,6.7,206831,110,67,14138.36,175176,20.2,11819,14.8,10604,35,22,57,28655,7.464,0.095,30061,69.63512429831596,15302.481452617032,44625.753448390635,445515748.2581908,44626711613.98054,57701652478.83918,1640828813.26654,10988596648.816721,115403305303.16118,23.818851845454024,0.05318351697762908,12.211665802959637,0.0656417343237174,34.618529394829274
Калининградская область,1012512,15125,15.6,29518,99.2,36647,99.2,530036.9,43693.09658787,80168.56220502,12.6,14788998700000.0,579414803930000,651831888630000.0,7709618200000.0,49918467800000.0,1303663777260000.0,183286,13.5,29.1,64.8,6.1,199534,331,60,16862.35,251031,24.8,12943,5.9,9286,5,30,35,408661,246.714,6.148,23291,66.94294214876032,43153.16419743173,79177.88846455154,14606245358.079708,572254752467.1312,643776951413.9092,7614347484.27673,49301606104.42148,1287553902827.8184,19.70682816598717,0.16588651558130443,9.171249328403022,0.034567491545779205,23.003184159792674
Калужская область,1002575,29777,15.5,32442,99.2,43994,102.4,558174.6,45449.34975524999,25991.31079113,16.9,4778744100000.0,883848076800000,924089443900000.0,10263402500000.0,25199220500000.0,1848178887800000.0,214672,9.7,0.0,0.0,0.0,187497,228,72,17493.37,277874,27.7,11518,4.7,8989,8,20,28,310993,72.852,26.266,26691,33.66944285858213,45332.61826322219,25924.555061845746,4766470438.620552,881578013415.4552,921716025135.2767,10237042116.549885,25134499164.651024,1843432050270.5535,18.70154352542204,0.12160194563113011,8.96591277460539,0.0279280851806598,26.622447198463956
Камчатский край,313016,464275,15.9,55373,102.1,85623,103.8,942802.0,30582.62673658999,66720.45428114,13.3,30559560700000.0,123011432700000,178814259100000.0,2952087600000.0,22291178200000.0,357628518300000.0,202352,14.6,42.6,51.5,5.9,65590,264,49,25988.5,62961,20.1,22535,3.8,3240,3,11,14,28019,4.669,0.894,5812,0.6742038662430672,97703.07823430748,213153.4946492831,97629388593.55432,392987683377.2076,571262360709.9956,9431107675.007029,71214181383.69923,1142524721739.4639,20.95420042425946,0.40250038115566394,10.350908579753112,0.04472614818411838,18.567740946149716
Карачаево-Черкесская Республика,465528,14277,18.3,18949,97.3,29865,107.0,207471.5,6988.17024339,25546.25113857,26.5,2713194600000.0,26494436700000,40569368500000.0,1536797500000.0,9824939700000.0,81138737000000.0,83515,23.2,27.6,65.5,6.9,105502,82,95,15285.6,102517,22.0,10926,14.8,5118,12,13,25,17534,5.248,0.046,29634,32.60685017860895,15011.27803996752,54875.86383326031,5828209259.163789,56912659818.52864,87146999750.82057,3301192409.4791293,21104938263.649017,174293999501.64114,22.662868828512998,0.07772364504938295,10.993968139403002,0.05370246258012407,63.65675104397587
Кемеровская область,2657854,95725,16.3,25433,98.1,43429,100.6,392374.9,97131.19144624,62745.27541084,23.0,722401467500000.0,621927423810000,1515806733410000.0,69932690300000.0,101545151800000.0,3031613466820000.0,153033,13.2,39.7,55.8,4.5,575933,1776,67,17900.46,669131,25.2,11023,6.7,22545,20,109,129,507318,72.726,15.866,84902,27.765515800470098,36544.9687779088,23607.495148657526,271798777321.8544,233996082482.3335,570312264484.8062,26311712494.365757,38205692186.25252,1140624528969.6123,21.669098453112927,0.3083692026676714,8.482407235310893,0.04853539735440698,31.94381632700668
