11242000300190200001 Отношение числа занятых в экономике региона к численности населения региона в трудоспособном возрасте;;;;;;;;;;
ЕДИНИЦА ИЗМЕРЕНИЯ;Процент;;;;;;;;;
ТИП СБОРА;За период;;;;;;;;;
ПЕРИОД;2014 г., 2012 г., 2015 г., 2016 г., 2018 г., 2017 г., 2019 г., 2013 г., 2020 г.;;;;;;;;;
ОКАТО;643 Российская Федерация, 030 Центральный федеральный округ, 14000000000 Белгородская область, 15000000000 Брянская область, 17000000000 Владимирская область, 20000000000 Воронежская область, 24000000000 Ивановская область, 29000000000 Калужская область, 34000000000 Костромская область, 38000000000 Курская область, 42000000000 Липецкая область, 46000000000 Московская область, 54000000000 Орловская область, 61000000000 Рязанская область, 66000000000 Смоленская область, 68000000000 Тамбовская область, 28000000000 Тверская область, 70000000000 Тульская область, 78000000000 Ярославская область, 45000000000 Город Москва столица Российской Федерации город федерального значения, 031 Северо-Западный федеральный округ, 86000000000 Республика Карелия, 87000000000 Республика Коми, 11000000000 Архангельская область, 11100000000 Ненецкий автономный округ (Архангельская область), 11001000000 Архангельская область (кроме Ненецкого автономного округа), 19000000000 Вологодская область, 27000000000 Калининградская область, 41000000000 Ленинградская область, 47000000000 Мурманская область, 49000000000 Новгородская область, 58000000000 Псковская область, 40000000000 Город Санкт-Петербург город федерального значения, 040 Южный федеральный округ (с 29.07.2016), 79000000000 Республика Адыгея (Адыгея), 85000000000 Республика Калмыкия, 35000000000 Республика Крым, 03000000000 Краснодарский край, 12000000000 Астраханская область, 18000000000 Волгоградская область, 60000000000 Ростовская область, 67000000000 Город федерального значения Севастополь, 038 Северо-Кавказский федеральный округ, 82000000000 Республика Дагестан, 26000000000 Республика Ингушетия, 83000000000 Кабардино-Балкарская Республика, 91000000000 Карачаево-Черкесская Республика, 90000000000 Республика Северная Осетия-Алания, 96000000000 Чеченская Республика, 07000000000 Ставропольский край, 033 Приволжский федеральный округ, 80000000000 Республика Башкортостан, 88000000000 Республика Марий Эл, 89000000000 Республика Мордовия, 92000000000 Республика Татарстан (Татарстан), 94000000000 Удмуртская Республика, 97000000000 Чувашская Республика - Чувашия, 57000000000 Пермский край, 33000000000 Кировская область, 22000000000 Нижегородская область, 53000000000 Оренбургская область, 56000000000 Пензенская область, 36000000000 Самарская область, 63000000000 Саратовская область, 73000000000 Ульяновская область, 034 Уральский федеральный округ, 37000000000 Курганская область, 65000000000 Свердловская область, 71000000000 Тюменская область, 71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область), 71140000000 Ямало-Ненецкий автономный округ (Тюменская область), 71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа), 75000000000 Челябинская область, 041 Сибирский федеральный округ, 84000000000 Республика Алтай, 93000000000 Республика Тыва, 95000000000 Республика Хакасия, 01000000000 Алтайский край, 04000000000 Красноярский край, 25000000000 Иркутская область, 32000000000 Кемеровская область - Кузбасс, 50000000000 Новосибирская область, 52000000000 Омская область, 69000000000 Томская область, 042 Дальневосточный федеральный округ, 81000000000 Республика Бурятия, 76000000000 Забайкальский край, 98000000000 Республика Саха (Якутия), 30000000000 Камчатский край, 05000000000 Приморский край, 08000000000 Хабаровский край, 10000000000 Амурская область, 44000000000 Магаданская область, 64000000000 Сахалинская область, 99000000000 Еврейская автономная область, 77000000000 Чукотский автономный округ;;;;;;;;;
