region,density,living_area,gdpp,spec_subsidies,welfare,retail,poverty_percent,living_wage,unemployment_rate
"('Республика Калмыкия', 'Республика Калмыкия')",3.6281462846743655,20.2,344933.1,50558.88617961532,24.3,86002,22.7,10914,9.6
"('Республика Карелия', 'Республика Карелия')",3.401639707511633,17.1,522245.3,54510.852835535065,24.2,226569,15.1,15438,8.7
"('Республика Коми', 'Республика Коми')",1.9686280814062296,15.5,749219.3,33079.85915597466,22.7,201675,15.3,15715,7.8
"('Республика Крым', 'Республика Крым')",73.33392124535102,19.0,270363.8,85423.89769944086,15.5,148071,17.2,11846,6.3
"('Республика Марий Эл', 'Республика Марий Эл')",29.065967914438502,16.5,290803.3,37489.49806048421,22.4,134692,19.5,10568,6.7
"('Республика Мордовия', 'Республика Мордовия')",30.24330220453154,20.0,342811.2,33856.22520460087,22.5,127327,17.6,10079,5.4
"('Республика Саха (Якутия)', 'Республика Саха (Якутия)')",0.3152225554990185,16.5,1168152.5,124582.30444220964,16.8,250679,17.3,18853,7.4
"('Республика Северная Осетия-Алания', 'Республика Северная Осетия-Алания')",87.24640040065105,16.4,267814.4,44913.8224070909,25.0,163468,13.9,10433,15.5
"('Республика Татарстан', 'Республика Татарстан')",57.52484266069244,16.2,675621.4,21892.958411968262,13.7,238322,6.6,10231,3.6
"('Республика Тыва', 'Республика Тыва')",1.9417273611539465,13.6,251799.9,123345.46334592816,23.8,76921,31.7,11594,18.0
"('Республика Хакасия', 'Республика Хакасия')",8.677451314785039,17.9,500422.8,36074.96447087759,24.1,175577,18.5,12428,8.7
"('Ростовская область', 'Ростовская область')",41.57616845107808,18.2,403949.1,17090.78626783991,27.8,232860,13.0,11493,5.0
"('Рязанская область', 'Рязанская область')",27.997651811639944,19.0,412845.1,22270.609448733685,22.0,196393,12.8,11643,5.4
"('Самарская область', 'Самарская область')",59.35838700644077,16.9,505093.4,20896.021041448865,23.4,213032,12.3,12151,4.5
"('Санкт-Петербург', 'Санкт-Петербург')",3847.515324305061,15.7,971158.0,10021.505932204582,19.8,283494,5.9,13074,2.9
"('Саратовская область', 'Саратовская область')",23.922313314895295,17.8,358480.4,24987.04702274046,27.7,164665,14.8,10409,5.6
"('Сахалинская область', 'Сахалинская область')",5.6056417262718,17.2,2059206.5,35631.74207824977,16.5,338787,7.7,17178,5.5
"('Свердловская область', 'Свердловская область')",22.18489812513188,15.8,588270.0,16138.319836596582,23.5,259875,9.0,11550,5.8
"('Севастополь', 'Севастополь')",519.8356481481482,13.7,295304.9,95253.94596193152,13.3,141383,11.0,12201,4.6
"('Смоленская область', 'Смоленская область')",18.78079109664718,19.4,386274.8,21241.816509361004,27.2,186156,15.6,11572,5.3
"('Ставропольский край', 'Ставропольский край')",42.37564993954051,19.0,308476.2,26079.121172225583,30.8,185994,13.8,10464,6.2
"('Тамбовская область', 'Тамбовская область')",29.213278393592944,19.7,378455.8,29485.26675327888,23.9,198282,10.8,10998,4.6
"('Тверская область', 'Тверская область')",14.968693958504057,17.5,391722.2,20128.20101628161,22.5,199736,11.4,12041,4.4
"('Томская область', 'Томская область')",3.432894071395173,16.9,518179.5,28371.498349246853,23.5,162359,14.4,12566,8.7
"('Тульская область', 'Тульская область')",57.09439619922894,16.6,486544.2,19958.24151079681,23.3,205652,10.1,11814,4.4
"('Тюменская область без округов', 'Тюменская область без округов')",1.0500234603424596,18.1,757076.0,11601.288548701195,21.9,268215,13.6,12376,4.8
"('Удмуртская Республика', 'Удмуртская Республика')",35.68519531157129,14.8,451490.9,23786.1059103171,23.1,160085,11.9,10930,6.3
"('Ульяновская область', 'Ульяновская область')",33.076678948925526,17.9,360112.2,20363.65463055689,25.3,165299,15.0,11088,4.9
"('Хабаровский край', 'Хабаровский край')",1.6703756698868637,15.4,658239.5,37343.46709276757,25.7,277942,12.0,16510,4.0
"('Ханты-Мансийский автономный округ - Югра', 'Ханты-Мансийский автономный округ - Югра')",3.131400277860363,13.9,1994630.3,18257.02995292224,15.8,258117,8.4,17140,3.0
"('Челябинская область', 'Челябинская область')",39.15518078821629,16.0,467537.3,20279.124034342567,24.3,173367,12.6,12056,6.8
"('Чеченская Республика', 'Чеченская Республика')",91.44307711335108,19.2,171029.5,72294.9868523648,35.1,123955,20.4,11572,18.5
"('Чувашская Республика', 'Чувашская Республика')",66.39142997328682,14.2,287210.3,30559.102833181973,24.9,141564,16.8,10414,6.1
"('Чукотский автономный округ', 'Чукотский автономный округ')",0.0697010732091351,14.1,2404271.2,583593.8390787067,6.4,217089,8.0,24711,4.4
"('Ямало-Ненецкий автономный округ', 'Ямало-Ненецкий автономный округ')",0.7077595060123497,15.5,5072483.6,34439.947893704404,12.6,263114,4.8,17403,2.4
"('Ярославская область', 'Ярославская область')",34.64601818835172,15.8,495102.2,19342.72828492192,23.5,204406,9.9,11689,7.3
